abandoned,abandoned_category,abandoned_enjoy_bored,abandoned_enjoy_bored_num,abandoned_enjoy_excited,abandoned_enjoy_excited_num,abandoned_enjoy_use,abandoned_enjoy_use_num,abandoned_info_exact,abandoned_info_exact_num,abandoned_info_learn,abandoned_info_learn_num,abandoned_info_regular,abandoned_info_regular_num,abandoned_info_relevant,abandoned_info_relevant_num,abandoned_info_timely,abandoned_info_timely_num,abandoned_other_financial,abandoned_other_financial_num,abandoned_other_general,abandoned_other_general_num,abandoned_other_specific,abandoned_other_specific_num,abandoned_self_consume,abandoned_self_consume_num,abandoned_self_interests,abandoned_self_interests_num,abandoned_self_personality,abandoned_self_personality_num,abandoned_social_comm,abandoned_social_comm_num,abandoned_social_connect,abandoned_social_connect_num,abandoned_social_friends,abandoned_social_friends_num,abandoned_social_plans,abandoned_social_plans_num,abandoned_update_needs,abandoned_update_needs_num,abandoned_update_remind,abandoned_update_remind_num,abandoned_usable_interface,abandoned_usable_interface_num,abandoned_usable_intuitive,abandoned_usable_intuitive_num,abandoned_usable_launch,abandoned_usable_launch_num,abandoned_use_efficient,abandoned_use_efficient_num,abandoned_use_info_track,abandoned_use_info_track_num,abandoned_use_logistics,abandoned_use_logistics_num,abandoned_use_task,abandoned_use_task_num,age,age_num,current,current_category,current_enjoy_bored,current_enjoy_bored_num,current_enjoy_excited,current_enjoy_excited_num,current_enjoy_use,current_enjoy_use_num,current_info_exact,current_info_exact_num,current_info_learn,current_info_learn_num,current_info_regular,current_info_regular_num,current_info_relevant,current_info_relevant_num,current_info_timely,current_info_timely_num,current_other_financial,current_other_financial_num,current_other_general,current_other_general_num,current_other_specific,current_other_specific_num,current_self_consume,current_self_consume_num,current_self_interests,current_self_interests_num,current_self_personality,current_self_personality_num,current_social_comm,current_social_comm_num,current_social_connect,current_social_connect_num,current_social_friends,current_social_friends_num,current_social_plans,current_social_plans_num,current_update_needs,current_update_needs_num,current_update_remind,current_update_remind_num,current_usable_interface,current_usable_interface_num,current_usable_intuitive,current_usable_intuitive_num,current_usable_launch,current_usable_launch_num,current_use_efficient,current_use_efficient_num,current_use_info_track,current_use_info_track_num,current_use_logistics,current_use_logistics_num,current_use_task,current_use_task_num,device,educ,educ_num,from,gender,gender_num,timestamp,usage
Yelp,rewards,Never,0,Never,0,Sometimes,2,Very often,3,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,Never,0,Never,0,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,A little bit of the time,1,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,Never,0,Very often,3,Sometimes,2,25,25,Facebook,social,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Never,0,Sometimes,2,Never,0,Sometimes,2,A little bit of the time,1,All of the time,4,All of the time,4,Very often,3,All of the time,4,Very often,3,Very often,3,Never,0,Sometimes,2,Very often,3,Very often,3,Never,0,Sometimes,2,Very often,3,Sometimes,2,iPhone 6/6S/6S Plus,College (Bachelor's),2,South,Female,1,10/31/2016 19:33:25,More than 3 hours
Instagram,social,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,33,33,Facebook,social,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,Very often,3,Very often,3,All of the time,4,All of the time,4,All of the time,4,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,iPhone 5/5S/5C or older,Graduate (PhD),4,International,Female,1,10/31/2016 19:45:32,More than 3 hours
Words With Friends,entertainment,Very often,3,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Very often,3,Never,0,Never,0,Never,0,Never,0,25,25,Facebook,social,All of the time,4,Very often,3,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,Very often,3,Very often,3,Very often,3,All of the time,4,Sometimes,2,Sometimes,2,Never,0,Very often,3,Very often,3,All of the time,4,Never,0,Sometimes,2,Very often,3,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (PhD),4,Midwest,Female,1,10/31/2016 20:00:42,Between 1 and 3 hours
Candy Crush,entertainment,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,24,24,Facebook,social,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,All of the time,4,Very often,3,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,Never,0,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,All of the time,4,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,iPhone 5/5S/5C or older,Graduate (PhD),4,West,Female,1,10/31/2016 20:05:06,More than 3 hours
Words With Friends,entertainment,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,32,32,Facebook,social,Very often,3,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,Never,0,Never,0,Never,0,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (Master's),3,Northeast,Female,1,10/31/2016 20:09:10,More than 3 hours
Candy Crush,entertainment,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,23,23,Facebook,social,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,iPhone 5/5S/5C or older,College (Bachelor's),2,International,Female,1,10/31/2016 20:40:59,Between 1 and 3 hours
Words With Friends,entertainment,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,36,36,Facebook,social,Very often,3,Very often,3,Very often,3,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Very often,3,All of the time,4,Sometimes,2,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Very often,3,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,iPhone 5/5S/5C or older,Graduate (Master's),3,West,Female,1,10/31/2016 21:04:04,Between 1 and 3 hours
Angry Birds,,Very often,3,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,Very often,3,Never,0,Never,0,Never,0,Never,0,24,24,Facebook,social,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Very often,3,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Never,0,A little bit of the time,1,Sometimes,2,Sometimes,2,iPhone 5/5S/5C or older,Graduate (Master's),3,Midwest,Female,1,10/31/2016 22:35:35,Between 1 and 3 hours
Pinterest,entertainment,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Never,0,Never,0,Sometimes,2,Never,0,Very often,3,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,A little bit of the time,1,Never,0,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,21,21,Facebook,social,Very often,3,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Very often,3,A little bit of the time,1,Never,0,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,Very often,3,iPhone 5/5S/5C or older,College (Bachelor's),2,West,Female,1,10/31/2016 23:26:52,More than 3 hours
Candy Crush,entertainment,Very often,3,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Very often,3,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,27,27,Facebook,social,All of the time,4,Very often,3,Very often,3,Very often,3,Very often,3,All of the time,4,Very often,3,All of the time,4,Never,0,A little bit of the time,1,Very often,3,Very often,3,Very often,3,All of the time,4,Very often,3,All of the time,4,All of the time,4,Never,0,A little bit of the time,1,Never,0,Very often,3,A little bit of the time,1,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,Android,College (Bachelor's),2,International,non-binary,,10/31/2016 23:49:42,More than 3 hours
Candy Crush,entertainment,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,Never,0,Very often,3,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,Never,0,Never,0,Never,0,Never,0,30,30,Facebook,social,All of the time,4,All of the time,4,All of the time,4,Never,0,Very often,3,All of the time,4,Very often,3,All of the time,4,Never,0,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Very often,3,All of the time,4,All of the time,4,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,All of the time,4,Never,0,Never,0,Never,0,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (Master's),3,International,Female,1,10/31/2016 23:53:23,More than 3 hours
Words With Friends,entertainment,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,A little bit of the time,1,Never,0,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,Never,0,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Very often,3,Never,0,Never,0,Never,0,Sometimes,2,19,19,Facebook Messenger,social,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,A little bit of the time,1,Very often,3,A little bit of the time,1,Very often,3,Very often,3,A little bit of the time,1,Very often,3,Very often,3,Very often,3,Very often,3,Very often,3,Very often,3,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Very often,3,iPhone 7/7 Plus,College (Bachelor's),2,South,Male,0,10/31/2016 18:34:24,Between 1 and 3 hours
Groupon,rewards,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,Very often,3,Never,0,Sometimes,2,Never,0,All of the time,4,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,Never,0,Never,0,Never,0,Sometimes,2,Sometimes,2,Never,0,Never,0,Sometimes,2,26,26,Facebook Messenger,social,Very often,3,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,Very often,3,All of the time,4,Very often,3,A little bit of the time,1,Sometimes,2,All of the time,4,Sometimes,2,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Android,Graduate (Master's),3,South,Male,0,10/31/2016 18:41:21,Between 1 and 3 hours
Words With Friends,entertainment,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,A little bit of the time,1,Never,0,Sometimes,2,A little bit of the time,1,Never,0,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Never,0,Never,0,Never,0,Never,0,19,19,Facebook Messenger,social,Sometimes,2,Sometimes,2,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Very often,3,Never,0,Sometimes,2,Very often,3,All of the time,4,Never,0,A little bit of the time,1,All of the time,4,Very often,3,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Very often,3,Very often,3,All of the time,4,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,iPhone 6/6S/6S Plus,College (Bachelor's),2,International,Female,1,10/31/2016 19:08:32,More than 3 hours
Words With Friends,entertainment,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,24,24,Facebook Messenger,social,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,Never,0,Very often,3,Very often,3,Very often,3,Never,0,Never,0,All of the time,4,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,All of the time,4,Very often,3,Very often,3,Very often,3,Sometimes,2,Very often,3,All of the time,4,All of the time,4,All of the time,4,Very often,3,Very often,3,Very often,3,Sometimes,2,Android,Graduate (PhD),4,South,Male,0,10/31/2016 19:14:06,Between 1 and 3 hours
Uber,useful,Never,0,Never,0,A little bit of the time,1,All of the time,4,Never,0,Never,0,All of the time,4,Very often,3,Never,0,Never,0,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Very often,3,Never,0,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,Never,0,Never,0,All of the time,4,23,23,Facebook Messenger,social,A little bit of the time,1,A little bit of the time,1,All of the time,4,All of the time,4,Very often,3,Very often,3,All of the time,4,Very often,3,Never,0,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Very often,3,All of the time,4,All of the time,4,Sometimes,2,All of the time,4,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Never,0,Very often,3,All of the time,4,Android,Graduate (PhD),4,Midwest,Female,1,10/31/2016 19:24:40,Less than an hour
Words With Friends,entertainment,Very often,3,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Very often,3,A little bit of the time,1,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,28,28,Facebook Messenger,social,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Never,0,Never,0,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,A little bit of the time,1,Never,0,Sometimes,2,Very often,3,Very often,3,Sometimes,2,A little bit of the time,1,Sometimes,2,Very often,3,Android,College (Bachelor's),2,West,Male,0,10/31/2016 19:52:31,Between 1 and 3 hours
Tumblr,entertainment,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,Never,0,Never,0,All of the time,4,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,Very often,3,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Never,0,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Sometimes,2,17,17,Facebook Messenger,social,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,Very often,3,Never,0,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,Very often,3,iPhone 5/5S/5C or older,High School,1,West,Female,1,10/31/2016 20:11:20,More than 3 hours
Google Search,info,A little bit of the time,1,Never,0,Sometimes,2,Very often,3,Very often,3,All of the time,4,All of the time,4,Sometimes,2,Never,0,All of the time,4,Never,0,Very often,3,Very often,3,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Very often,3,Never,0,Very often,3,Very often,3,All of the time,4,Very often,3,Very often,3,Sometimes,2,Never,0,22,22,Facebook Messenger,social,Sometimes,2,A little bit of the time,1,All of the time,4,Very often,3,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,All of the time,4,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Never,0,Very often,3,All of the time,4,Sometimes,2,Very often,3,Very often,3,All of the time,4,Sometimes,2,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Male,0,10/31/2016 20:50:32,More than 3 hours
Instagram,social,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,All of the time,4,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,16,16,Facebook Messenger,social,Sometimes,2,Sometimes,2,Very often,3,All of the time,4,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Very often,3,Very often,3,Sometimes,2,All of the time,4,Very often,3,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,Sometimes,2,Very often,3,Very often,3,iPhone 5/5S/5C or older,High School,1,West,Male,0,10/31/2016 23:03:17,Between 1 and 3 hours
Facebook,social,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,22,22,Facebook Messenger,social,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Very often,3,Very often,3,Very often,3,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Android,College (Bachelor's),2,Northeast,Female,1,11/1/2016 4:05:28,Between 1 and 3 hours
Words With Friends,entertainment,Never,0,Sometimes,2,Sometimes,2,Very often,3,A little bit of the time,1,Never,0,Very often,3,Very often,3,Never,0,Never,0,All of the time,4,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Very often,3,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,24,24,Facebook Messenger,social,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Sometimes,2,All of the time,4,All of the time,4,Very often,3,Very often,3,A little bit of the time,1,Very often,3,Never,0,Never,0,Very often,3,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Android,College (Bachelor's),2,Northeast,Nb,,11/1/2016 20:27:26,More than 3 hours
Facebook,social,Very often,3,Very often,3,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Very often,3,Never,0,Sometimes,2,Sometimes,2,Never,0,26,26,Google Maps,info,Never,0,Never,0,Very often,3,All of the time,4,Sometimes,2,A little bit of the time,1,All of the time,4,All of the time,4,A little bit of the time,1,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,Never,0,A little bit of the time,1,Sometimes,2,Never,0,All of the time,4,Very often,3,Never,0,All of the time,4,Very often,3,Sometimes,2,Sometimes,2,Very often,3,All of the time,4,All of the time,4,iPhone 5/5S/5C or older,Graduate (PhD),4,Midwest,Male,0,10/31/2016 18:57:14,More than 3 hours
Words With Friends,entertainment,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,26,26,Google Maps,info,Never,0,Never,0,All of the time,4,All of the time,4,All of the time,4,Very often,3,All of the time,4,All of the time,4,A little bit of the time,1,Sometimes,2,All of the time,4,Never,0,All of the time,4,Never,0,Never,0,Very often,3,Never,0,All of the time,4,Very often,3,Never,0,All of the time,4,All of the time,4,Very often,3,All of the time,4,Never,0,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Female,1,10/31/2016 19:17:59,More than 3 hours
