abandoned,abandoned_benefit_score,abandoned_benefit_total,abandoned_category,abandoned_enjoy_bored,abandoned_enjoy_bored_num,abandoned_enjoy_excited,abandoned_enjoy_excited_num,abandoned_enjoy_use,abandoned_enjoy_use_num,abandoned_info_exact,abandoned_info_exact_num,abandoned_info_learn,abandoned_info_learn_num,abandoned_info_regular,abandoned_info_regular_num,abandoned_info_relevant,abandoned_info_relevant_num,abandoned_info_timely,abandoned_info_timely_num,abandoned_other_financial,abandoned_other_financial_num,abandoned_other_general,abandoned_other_general_num,abandoned_other_specific,abandoned_other_specific_num,abandoned_self_consume,abandoned_self_consume_num,abandoned_self_interests,abandoned_self_interests_num,abandoned_self_personality,abandoned_self_personality_num,abandoned_social_comm,abandoned_social_comm_num,abandoned_social_connect,abandoned_social_connect_num,abandoned_social_friends,abandoned_social_friends_num,abandoned_social_plans,abandoned_social_plans_num,abandoned_update_needs,abandoned_update_needs_num,abandoned_update_remind,abandoned_update_remind_num,abandoned_usable_interface,abandoned_usable_interface_num,abandoned_usable_intuitive,abandoned_usable_intuitive_num,abandoned_usable_launch,abandoned_usable_launch_num,abandoned_use_efficient,abandoned_use_efficient_num,abandoned_use_info_track,abandoned_use_info_track_num,abandoned_use_logistics,abandoned_use_logistics_num,abandoned_use_task,abandoned_use_task_num,age,age_num,current,current_benefit_score,current_benefit_total,current_category,current_enjoy_bored,current_enjoy_bored_num,current_enjoy_excited,current_enjoy_excited_num,current_enjoy_use,current_enjoy_use_num,current_info_exact,current_info_exact_num,current_info_learn,current_info_learn_num,current_info_regular,current_info_regular_num,current_info_relevant,current_info_relevant_num,current_info_timely,current_info_timely_num,current_other_financial,current_other_financial_num,current_other_general,current_other_general_num,current_other_specific,current_other_specific_num,current_self_consume,current_self_consume_num,current_self_interests,current_self_interests_num,current_self_personality,current_self_personality_num,current_social_comm,current_social_comm_num,current_social_connect,current_social_connect_num,current_social_friends,current_social_friends_num,current_social_plans,current_social_plans_num,current_update_needs,current_update_needs_num,current_update_remind,current_update_remind_num,current_usable_interface,current_usable_interface_num,current_usable_intuitive,current_usable_intuitive_num,current_usable_launch,current_usable_launch_num,current_use_efficient,current_use_efficient_num,current_use_info_track,current_use_info_track_num,current_use_logistics,current_use_logistics_num,current_use_task,current_use_task_num,device,educ,educ_num,from,gender,gender_num,timestamp,usage
YouTube,0.4074074074074074,44,entertainment,Very often,3,Very often,3,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,Sometimes,2,60,60,Google Maps,0.4722222222222222,51,info,Never,0,Never,0,Very often,3,All of the time,4,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,Never,0,Sometimes,2,Very often,3,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,Never,0,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,Graduate (Master's),3,West,Male,0,10/31/2016 21:14:00,Between 1 and 3 hours
Groupon,0.39814814814814814,43,rewards,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,27,27,Google Maps,0.6666666666666666,72,info,A little bit of the time,1,Sometimes,2,Very often,3,All of the time,4,Sometimes,2,Very often,3,All of the time,4,All of the time,4,Never,0,A little bit of the time,1,All of the time,4,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,A little bit of the time,1,All of the time,4,Very often,3,Very often,3,Very often,3,Very often,3,All of the time,4,All of the time,4,Very often,3,All of the time,4,All of the time,4,iPhone 5/5S/5C or older,Graduate (Master's),3,Midwest,Female,1,10/31/2016 21:28:05,Between 1 and 3 hours
Candy Crush,0.23148148148148148,25,entertainment,Very often,3,Very often,3,Very often,3,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,Very often,3,Never,0,Never,0,Never,0,Never,0,33,33,Google Maps,0.5,54,info,Never,0,Never,0,Sometimes,2,All of the time,4,Sometimes,2,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,A little bit of the time,1,All of the time,4,All of the time,4,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,Very often,3,Sometimes,2,Never,0,Sometimes,2,Very often,3,Very often,3,Very often,3,Sometimes,2,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,Graduate (Master's),3,Midwest,Female,1,10/31/2016 22:27:54,Less than an hour
Snapchat,0.28703703703703703,31,social,Very often,3,A little bit of the time,1,Very often,3,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,Never,0,Very often,3,Never,0,Sometimes,2,A little bit of the time,1,All of the time,4,Never,0,Never,0,Never,0,Never,0,31,31,Google Maps,0.32407407407407407,35,info,Never,0,Never,0,A little bit of the time,1,Very often,3,Never,0,Never,0,All of the time,4,All of the time,4,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Male,0,11/1/2016 0:49:15,More than 3 hours
2048,0.1111111111111111,12,,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,Never,0,Never,0,26,26,Google Maps,0.25,27,info,Never,0,Never,0,A little bit of the time,1,Very often,3,Never,0,Never,0,Very often,3,Sometimes,2,Never,0,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Sometimes,2,Very often,3,Very often,3,iPhone 5/5S/5C or older,Graduate (PhD),4,Northeast,Female,1,11/1/2016 3:48:35,Between 1 and 3 hours
Facebook,0.5092592592592593,55,social,Very often,3,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Very often,3,Never,0,Sometimes,2,Sometimes,2,All of the time,4,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Never,0,Very often,3,Very often,3,Very often,3,Never,0,Sometimes,2,Very often,3,Very often,3,27,27,Google Maps,0.48148148148148145,52,info,Never,0,Never,0,All of the time,4,Very often,3,Very often,3,A little bit of the time,1,Very often,3,Very often,3,A little bit of the time,1,Never,0,All of the time,4,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,All of the time,4,Sometimes,2,Never,0,Very often,3,Very often,3,Sometimes,2,All of the time,4,Sometimes,2,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,Graduate (Master's),3,West,Female,1,11/1/2016 7:52:45,Between 1 and 3 hours
Facebook,0.4444444444444444,48,social,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Very often,3,A little bit of the time,1,Sometimes,2,Never,0,A little bit of the time,1,Very often,3,Very often,3,Never,0,Never,0,Sometimes,2,Sometimes,2,29,29,Instagram,0.6018518518518519,65,social,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,A little bit of the time,1,All of the time,4,Very often,3,Very often,3,Never,0,Very often,3,Never,0,Sometimes,2,Very often,3,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,Sometimes,2,Never,0,Sometimes,2,All of the time,4,All of the time,4,Never,0,Sometimes,2,Never,0,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (Master's),3,Northeast,Female,1,10/31/2016 18:54:08,Between 1 and 3 hours
Snapchat,0.32407407407407407,35,social,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,34,34,Instagram,0.6944444444444444,75,social,All of the time,4,Very often,3,Very often,3,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,All of the time,4,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,All of the time,4,All of the time,4,Very often,3,All of the time,4,All of the time,4,Sometimes,2,Never,0,Very often,3,All of the time,4,All of the time,4,Very often,3,A little bit of the time,1,Very often,3,A little bit of the time,1,Very often,3,iPhone 7/7 Plus,College (Bachelor's),2,Northeast,Female,1,10/31/2016 21:51:54,More than 3 hours
Groupon,0.35185185185185186,38,rewards,Never,0,Never,0,Never,0,A little bit of the time,1,All of the time,4,A little bit of the time,1,Very often,3,A little bit of the time,1,All of the time,4,Never,0,All of the time,4,All of the time,4,Very often,3,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Never,0,Never,0,Very often,3,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,22,22,Instagram,0.5925925925925926,64,social,Sometimes,2,All of the time,4,Very often,3,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Very often,3,Never,0,All of the time,4,Never,0,A little bit of the time,1,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Female,1,10/31/2016 22:38:42,Between 1 and 3 hours
Safari,0.046296296296296294,5,general_specific,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Never,0,Never,0,Never,0,Never,0,23,23,Instagram,0.7129629629629629,77,social,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,All of the time,4,Sometimes,2,Very often,3,All of the time,4,Very often,3,Very often,3,Very often,3,Very often,3,A little bit of the time,1,All of the time,4,Never,0,All of the time,4,All of the time,4,All of the time,4,Sometimes,2,Very often,3,Never,0,Never,0,iPhone 6/6S/6S Plus,College (Bachelor's),2,Northeast,Female,1,10/31/2016 22:48:15,More than 3 hours
Pinterest,0.3055555555555556,33,entertainment,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,A little bit of the time,1,All of the time,4,Sometimes,2,All of the time,4,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Never,0,Sometimes,2,Never,0,Never,0,22,22,Instagram,0.5,54,social,Very often,3,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Very often,3,All of the time,4,All of the time,4,All of the time,4,Never,0,All of the time,4,All of the time,4,Never,0,Very often,3,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,iPhone 6/6S/6S Plus,College (Bachelor's),2,West,Female,1,11/1/2016 4:46:21,More than 3 hours
Words With Friends,0.2962962962962963,32,entertainment,All of the time,4,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Very often,3,Sometimes,2,A little bit of the time,1,Never,0,A little bit of the time,1,All of the time,4,Sometimes,2,All of the time,4,Very often,3,Never,0,Never,0,Never,0,Never,0,21,21,Instagram,0.6759259259259259,73,social,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Very often,3,All of the time,4,Sometimes,2,Sometimes,2,Never,0,All of the time,4,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,All of the time,4,Never,0,Very often,3,All of the time,4,All of the time,4,Never,0,Very often,3,Never,0,Sometimes,2,iPhone 6/6S/6S Plus,College (Bachelor's),2,Northeast,Female,1,11/1/2016 16:00:49,More than 3 hours
Words With Friends,0.19444444444444445,21,entertainment,Sometimes,2,Very often,3,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Very often,3,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,Never,0,25,25,Instagram,0.37962962962962965,41,social,Sometimes,2,Sometimes,2,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,All of the time,4,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,A little bit of the time,1,All of the time,4,Never,0,All of the time,4,Never,0,Never,0,Android,College (Bachelor's),2,West,Female,1,11/1/2016 18:41:42,More than 3 hours
Instagram,0.1111111111111111,12,social,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,Never,0,27,27,Mail,1.0,108,useful,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,All of the time,4,iPhone 6/6S/6S Plus,Graduate (PhD),4,West,Male,0,10/31/2016 19:01:49,More than 3 hours
YouTube,0.3148148148148148,34,entertainment,Sometimes,2,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Never,0,Very often,3,Never,0,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Sometimes,2,Very often,3,Sometimes,2,Never,0,Never,0,Never,0,Sometimes,2,31,31,Mail,0.5925925925925926,64,useful,A little bit of the time,1,Never,0,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,Never,0,All of the time,4,Very often,3,Never,0,All of the time,4,Sometimes,2,Sometimes,2,All of the time,4,Never,0,Sometimes,2,A little bit of the time,1,Very often,3,Very often,3,Very often,3,All of the time,4,All of the time,4,All of the time,4,iPhone 5/5S/5C or older,Graduate (PhD),4,International,Male,0,10/31/2016 19:57:11,Between 1 and 3 hours
Pinterest,0.25925925925925924,28,entertainment,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,46,46,Mail,0.5092592592592593,55,useful,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,A little bit of the time,1,Very often,3,Very often,3,Very often,3,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,A little bit of the time,1,Very often,3,A little bit of the time,1,Very often,3,A little bit of the time,1,A little bit of the time,1,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Very often,3,iPhone 5/5S/5C or older,Graduate (Master's),3,West,Female,1,10/31/2016 23:23:51,Between 1 and 3 hours
Candy Crush,0.2222222222222222,24,entertainment,Very often,3,Very often,3,Very often,3,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,All of the time,4,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Never,0,Never,0,Never,0,Never,0,20,20,Messages,0.6481481481481481,70,social,Sometimes,2,Sometimes,2,All of the time,4,Sometimes,2,Sometimes,2,Sometimes,2,All of the time,4,A little bit of the time,1,Never,0,Very often,3,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,All of the time,4,All of the time,4,All of the time,4,Very often,3,All of the time,4,All of the time,4,iPhone 5/5S/5C or older,College (Bachelor's),2,Northeast,Female,1,10/31/2016 18:53:05,More than 3 hours
Candy Crush,0.16666666666666666,18,entertainment,Very often,3,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Very often,3,A little bit of the time,1,A little bit of the time,1,Very often,3,Never,0,Never,0,Never,0,Never,0,26,26,Messages,0.6851851851851852,74,social,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,All of the time,4,A little bit of the time,1,Sometimes,2,Very often,3,Never,0,Very often,3,Never,0,All of the time,4,All of the time,4,All of the time,4,All of the time,4,A little bit of the time,1,Very often,3,Very often,3,Very often,3,Very often,3,All of the time,4,Sometimes,2,All of the time,4,All of the time,4,iPhone 7/7 Plus,College (Bachelor's),2,West,Female,1,10/31/2016 18:56:52,Between 1 and 3 hours
Mail,0.4722222222222222,51,useful,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,A little bit of the time,1,Very often,3,Sometimes,2,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Sometimes,2,Very often,3,Sometimes,2,32,32,Messages,0.5277777777777778,57,social,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Very often,3,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Very often,3,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Very often,3,Very often,3,Very often,3,Sometimes,2,Sometimes,2,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (Master's),3,West,Female,1,10/31/2016 19:21:10,Between 1 and 3 hours
Snapchat,0.17592592592592593,19,social,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Very often,3,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,Never,0,A little bit of the time,1,26,26,Messages,0.6574074074074074,71,social,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,A little bit of the time,1,All of the time,4,All of the time,4,Very often,3,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,All of the time,4,Never,0,Never,0,Sometimes,2,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,Very often,3,All of the time,4,Android,Graduate (PhD),4,West,Female,1,10/31/2016 22:11:40,Less than an hour
Facebook,0.42592592592592593,46,social,Very often,3,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Sometimes,2,Never,0,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,A little bit of the time,1,Never,0,A little bit of the time,1,Never,0,40,40,Messages,0.5185185185185185,56,social,Sometimes,2,Sometimes,2,All of the time,4,Sometimes,2,Sometimes,2,Very often,3,Very often,3,Very often,3,Never,0,Sometimes,2,Never,0,Never,0,A little bit of the time,1,Never,0,All of the time,4,Very often,3,Sometimes,2,All of the time,4,A little bit of the time,1,Never,0,A little bit of the time,1,Very often,3,All of the time,4,Very often,3,Sometimes,2,Very often,3,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (Master's),3,International,Male,0,11/1/2016 14:38:44,Between 1 and 3 hours
Facebook,0.3333333333333333,36,social,Very often,3,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,A little bit of the time,1,Never,0,Never,0,All of the time,4,Sometimes,2,A little bit of the time,1,Sometimes,2,Never,0,Sometimes,2,Sometimes,2,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Sometimes,2,Very often,3,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,25,25,Podcast,0.3888888888888889,42,self_express,Very often,3,Very often,3,Very often,3,A little bit of the time,1,A little bit of the time,1,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,All of the time,4,All of the time,4,All of the time,4,Never,0,Never,0,Never,0,Never,0,Never,0,A little bit of the time,1,Very often,3,A little bit of the time,1,Sometimes,2,Very often,3,Sometimes,2,Never,0,Never,0,Sometimes,2,iPhone 6/6S/6S Plus,Graduate (PhD),4,West,Male,0,10/31/2016 19:07:22,Between 1 and 3 hours
Words With Friends,0.24074074074074073,26,entertainment,Sometimes,2,A little bit of the time,1,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,All of the time,4,Very often,3,Sometimes,2,Never,0,Never,0,Very often,3,Never,0,Never,0,Sometimes,2,Never,0,Never,0,Never,0,A little bit of the time,1,24,24,Podcast,0.6111111111111112,66,self_express,Sometimes,2,All of the time,4,All of the time,4,Sometimes,2,All of the time,4,All of the time,4,All of the time,4,Very often,3,Never,0,Sometimes,2,Very often,3,All of the time,4,All of the time,4,Sometimes,2,Very often,3,All of the time,4,A little bit of the time,1,Never,0,Never,0,Sometimes,2,Never,0,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,Sometimes,2,Very often,3,iPhone 5/5S/5C or older,Graduate (PhD),4,Northeast,Female,1,10/31/2016 19:40:04,Between 1 and 3 hours
Music,0.18518518518518517,20,self_express,Sometimes,2,Sometimes,2,Sometimes,2,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,Never,0,All of the time,4,All of the time,4,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,Never,0,A little bit of the time,1,Never,0,A little bit of the time,1,A little bit of the time,1,A little bit of the time,1,Never,0,Never,0,Never,0,Never,0,29,29,Podcast,0.3888888888888889,42,self_express,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,Very often,3,Very often,3,A little bit of the time,1,A little bit of the time,1,Never,0,Very often,3,A little bit of the time,1,All of the time,4,All of the time,4,Never,0,A little bit of the time,1,Sometimes,2,Never,0,Never,0,A little bit of the time,1,Never,0,Sometimes,2,Very often,3,Very often,3,A little bit of the time,1,Never,0,Never,0,Never,0,iPhone 6/6S/6S Plus,Graduate (PhD),4,Northeast,Female,1,10/31/2016 21:07:00,Between 1 and 3 hours
