Timestamp,What is your gender?,Where are you from?,What is your age?,What is your highest education level (completed or in progress)? ,What kind of mobile device do you use?,Approximately how much time do you spend interacting with your phone each day?,"Of the following mobile apps, please choose one that you currently use.","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to accomplish a task that would otherwise be more difficult to do]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] helps me with logistics and planning]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] helps me get through the day more efficiently]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to keep track of things that I think are important]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] gives me timely information]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] gives me relevant information]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] tells me exactly what I need to know]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I feel like I've learned something after using [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to get information regularly about things I'm interested in]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] because it helps me feel connected to other people]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to see what my friends and family are up to]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to make/coordinate plans more effectively]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] allows me to communicate with other people]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I enjoy using [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I am excited to use [x] when I have free time]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [If I have nothing better to do, I'll use [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I like [x] because it has an appealing interface]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [The design of [x] is intuitive]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] launches very quickly]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] is always changing to suit my needs as a user]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] reminds me to use it often]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] lets me display my personality]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I can choose what I want to consume on [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [Using [x] is a way to pursue my interests and/or hobbies]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I find myself using [x] for lots of different reasons]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] for one specific reason]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] because I get financial benefit from it]","Of the following mobile apps, please choose one that you previously used but have now abandoned. If none of these apps fit this criteria, please list your own under ""other"".","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to accomplish a task that would otherwise be more difficult to do]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] helps me with logistics and planning]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] helps me get through the day more efficiently]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to keep track of things that I think are important]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] gives me timely information]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] gives me relevant information]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] tells me exactly what I need to know]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I feel like I've learned something after using [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to get information regularly about things I'm interested in]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] because it helps me feel connected to other people]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to see what my friends and family are up to]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] to make/coordinate plans more effectively]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] allows me to communicate with other people]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I enjoy using [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I am excited to use [x] when I have free time]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [If I have nothing better to do, I'll use [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I like [x] because it has an appealing interface]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [The design of [x] is intuitive]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] launches very quickly]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] is always changing to suit my needs as a user]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] reminds me to use it often]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [[x] lets me display my personality]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I can choose what I want to consume on [x]]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [Using [x] is a way to pursue my interests and/or hobbies]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I find myself using [x] for lots of different reasons]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] for one specific reason]","For the app you chose - to the best of your ability, please indicate your level of agreement with the following statements. [I use [x] because I get financial benefit from it]"
Timestamp,Gender,From,Age,Educ level,Mobile device,Daily mobile usage,Current app,I use [x] to accomplish a task that would otherwise be more difficult to do,[x] helps me with logistics and planning,[x] helps me get through the day more efficiently,I use [x] to keep track of things that I think are important,[x] gives me timely information,[x] gives me relevant information,[x] tells me exactly what I need to know,I feel like I've learned something after using [x],I use [x] to get information regularly about things I'm interested in,I use [x] because it helps me feel connected to other people,I use [x] to see what my friends and family are up to,I use [x] to make/coordinate plans more effectively,[x] allows me to communicate with other people,I enjoy using [x],I am excited to use [x] when I have free time,"If I have nothing better to do, I'll use [x]",I like [x] because it has an appealing interface,The design of [x] is intuitive,[x] launches very quickly,[x] is always changing to suit my needs as a user,[x] reminds me to use it often,[x] lets me display my personality,I can choose what I want to consume on [x],Using [x] is a way to pursue my interests and/or hobbies,I find myself using [x] for lots of different reasons,I use [x] for one specific reason,I use [x] because I get financial benefit from it,Abandoned app,I use [x] to accomplish a task that would otherwise be more difficult to do,[x] helps me with logistics and planning,[x] helps me get through the day more efficiently,I use [x] to keep track of things that I think are important,[x] gives me timely information,[x] gives me relevant information,[x] tells me exactly what I need to know,I feel like I've learned something after using [x],I use [x] to get information regularly about things I'm interested in,I use [x] because it helps me feel connected to other people,I use [x] to see what my friends and family are up to,I use [x] to make/coordinate plans more effectively,[x] allows me to communicate with other people,I enjoy using [x],I am excited to use [x] when I have free time,"If I have nothing better to do, I'll use [x]",I like [x] because it has an appealing interface,The design of [x] is intuitive,[x] launches very quickly,[x] is always changing to suit my needs as a user,[x] reminds me to use it often,[x] lets me display my personality,I can choose what I want to consume on [x],Using [x] is a way to pursue my interests and/or hobbies,I find myself using [x] for lots of different reasons,I use [x] for one specific reason,I use [x] because I get financial benefit from it
timestamp,gender,from,age,educ,device,usage,current,current_use_task,current_use_logistics,current_use_efficient,current_use_info_track,current_info_timely,current_info_relevant,current_info_exact,current_info_learn,current_info_regular,current_social_connect,current_social_friends,current_social_plans,current_social_comm,current_enjoy_use,current_enjoy_excited,current_enjoy_bored,current_usable_interface,current_usable_intuitive,current_usable_launch,current_update_needs,current_update_remind,current_self_personality,current_self_consume,current_self_interests,current_other_general,current_other_specific,current_other_financial,abandoned,abandoned_use_task,abandoned_use_logistics,abandoned_use_efficient,abandoned_use_info_track,abandoned_info_timely,abandoned_info_relevant,abandoned_info_exact,abandoned_info_learn,abandoned_info_regular,abandoned_social_connect,abandoned_social_friends,abandoned_social_plans,abandoned_social_comm,abandoned_enjoy_use,abandoned_enjoy_excited,abandoned_enjoy_bored,abandoned_usable_interface,abandoned_usable_intuitive,abandoned_usable_launch,abandoned_update_needs,abandoned_update_remind,abandoned_self_personality,abandoned_self_consume,abandoned_self_interests,abandoned_other_general,abandoned_other_specific,abandoned_other_financial
10/31/2016 18:56:23,Female,Northeast,old,Graduate (PhD),iPhone 5/5S/5C or older,More than 3 hours,Calendar,Very often,All of the time,Very often,All of the time,Very often,Very often,Sometimes,Never,Sometimes,Sometimes,Never,Very often,Never,A little bit of the time,Never,Never,Never,A little bit of the time,Very often,Never,A little bit of the time,Never,Sometimes,Sometimes,A little bit of the time,Sometimes,Never,Pinterest,A little bit of the time,Never,Never,A little bit of the time,Never,Never,Never,A little bit of the time,Never,A little bit of the time,Never,Never,Never,A little bit of the time,Never,Never,Never,Never,A little bit of the time,A little bit of the time,Sometimes,A little bit of the time,Sometimes,Sometimes,Never,Never,Never
10/31/2016 19:05:39,Female,Northeast,32,Graduate (PhD),iPhone 7/7 Plus,More than 3 hours,Calendar,Sometimes,All of the time,All of the time,All of the time,All of the time,All of the time,Sometimes,A little bit of the time,A little bit of the time,Very often,Sometimes,Very often,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Very often,Very often,A little bit of the time,Never,Snapchat,Never,Never,Never,Never,A little bit of the time,A little bit of the time,Never,Sometimes,A little bit of the time,Sometimes,A little bit of the time,Never,Sometimes,A little bit of the time,Never,A little bit of the time,A little bit of the time,Never,Sometimes,Sometimes,Sometimes,All of the time,Sometimes,Sometimes,Never,Never,Never
10/31/2016 19:08:42,Female,West,28,Graduate (Master's),iPhone 6/6S/6S Plus,Between 1 and 3 hours,Calendar,Very often,All of the time,Very often,Very often,Very often,Very often,Very often,A little bit of the time,A little bit of the time,A little bit of the time,Never,Very often,Sometimes,Very often,A little bit of the time,Never,Very often,Very often,Sometimes,A little bit of the time,A little bit of the time,A little bit of the time,All of the time,A little bit of the time,Sometimes,Very often,A little bit of the time,Google Maps,Very often,All of the time,Very often,A little bit of the time,All of the time,All of the time,Very often,Sometimes,A little bit of the time,A little bit of the time,Never,Very often,Never,Sometimes,Never,Never,Very often,Very often,Very often,Sometimes,A little bit of the time,A little bit of the time,Very often,Sometimes,A little bit of the time,Very often,Never
10/31/2016 19:41:53,Female,South,30,Graduate (PhD),iPhone 6/6S/6S Plus,More than 3 hours,Calendar,Never,All of the time,Very often,All of the time,Very often,Very often,All of the time,Very often,Never,Never,Never,All of the time,A little bit of the time,All of the time,Never,Never,All of the time,All of the time,All of the time,Never,All of the time,A little bit of the time,Never,A little bit of the time,A little bit of the time,All of the time,Never,Pinterest,Sometimes,All of the time,A little bit of the time,Very often,Sometimes,Very often,Very often,Very often,Sometimes,Never,Never,A little bit of the time,Never,All of the time,All of the time,Sometimes,All of the time,All of the time,Sometimes,A little bit of the time,Very often,Very often,All of the time,All of the time,All of the time,Sometimes,Never
10/31/2016 19:50:03,Female,Northeast,29,Graduate (PhD),Android,More than 3 hours,Calendar,All of the time,All of the time,All of the time,All of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A little bit of the time,Sometimes,All of the time,Never,Sometimes,Never,Never,Very often,Very often,Very often,A little bit of the time,A little bit of the time,A little bit of the time,Never,Never,A little bit of the time,Very often,Never,Words With Friends,A little bit of the time,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,A little bit of the time,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,A little bit of the time,Never,All of the time,Never
10/31/2016 20:47:50,Male,West,27,Graduate (PhD),Android,More than 3 hours,Calendar,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Never,Never,Never,Never,Never,Never,Very often,Never,Never,Very often,Very often,All of the time,Sometimes,Sometimes,Never,Never,Never,Never,All of the time,Never,Snapchat,Never,Never,Never,Never,Never,Never,Never,Never,Never,A little bit of the time,A little bit of the time,Never,A little bit of the time,A little bit of the time,A little bit of the time,Never,A little bit of the time,A little bit of the time,Sometimes,A little bit of the time,A little bit of the time,Sometimes,Sometimes,Never,Never,Sometimes,Never
10/31/2016 21:05:31,Male,Northeast,35,Graduate (PhD),iPhone 6/6S/6S Plus,Between 1 and 3 hours,Calendar,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Never,Sometimes,Never,Never,All of the time,A little bit of the time,All of the time,Never,Never,All of the time,All of the time,All of the time,A little bit of the time,A little bit of the time,Never,Never,All of the time,All of the time,Never,Very often,Words With Friends,Sometimes,Never,Never,Never,Never,A little bit of the time,Never,Never,Never,Very often,Sometimes,Never,Very often,Sometimes,A little bit of the time,A little bit of the time,Never,Very often,Sometimes,Never,Never,A little bit of the time,A little bit of the time,A little bit of the time,Never,Very often,Never
10/31/2016 21:35:06,Male,Northeast,24,College (Bachelor's),iPhone 6/6S/6S Plus,More than 3 hours,Calendar,Sometimes,All of the time,Very often,All of the time,Very often,Very often,Very often,Sometimes,Never,A little bit of the time,Sometimes,All of the time,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,A little bit of the time,Sometimes,Never,A little bit of the time,Never,Sometimes,Sometimes,Never,Candy Crush,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,A little bit of the time,A little bit of the time,A little bit of the time,Never,Sometimes,A little bit of the time,Never,Never,Never,Never,Never,Never,All of the time,Never
10/31/2016 23:22:55,Male,Northeast,23,Graduate (Master's),iPhone 6/6S/6S Plus,More than 3 hours,Calendar,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Sometimes,Very often,Sometimes,A little bit of the time,All of the time,Sometimes,Very often,Sometimes,A little bit of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Sometimes,Very often,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Words With Friends,A little bit of the time,Never,Never,Never,Never,Never,Never,A little bit of the time,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,A little bit of the time,Very often,Sometimes,Sometimes,Sometimes,Never,A little bit of the time,Very often,Never,All of the time,Never
11/1/2016 5:22:01,Male,Northeast,24,College (Bachelor's),iPhone 6/6S/6S Plus,More than 3 hours,Calendar,Sometimes,All of the time,Very often,All of the time,Very often,Very often,Very often,Sometimes,Never,A little bit of the time,Sometimes,All of the time,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,A little bit of the time,Sometimes,Never,A little bit of the time,Never,Sometimes,Sometimes,Never,Candy Crush,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,A little bit of the time,A little bit of the time,A little bit of the time,Never,Sometimes,A little bit of the time,Never,Never,Never,Never,Never,Never,All of the time,Never
11/1/2016 19:53:09,Female,West,20,College (Bachelor's),iPhone 5/5S/5C or older,Between 1 and 3 hours,Calendar,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very often,Never,All of the time,Never,All of the time,A little bit of the time,Never,Very often,All of the time,All of the time,Never,Sometimes,Never,All of the time,All of the time,Never,All of the time,Never,Facebook,Sometimes,A little bit of the time,A little bit of the time,A little bit of the time,Never,A little bit of the time,A little bit of the time,A little bit of the time,Sometimes,Very often,All of the time,Sometimes,All of the time,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Very often,Sometimes,A little bit of the time,A little bit of the time,Sometimes,Never
11/2/2016 12:18:00,Female,Northeast,23,Graduate (Master's),Android,More than 3 hours,Calendar,Very often,Very often,All of the time,Very often,Very often,Very often,Very often,A little bit of the time,A little bit of the time,Never,A little bit of the time,All of the time,Never,Very often,Never,Never,Never,A little bit of the time,All of the time,Never,Never,A little bit of the time,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Never,Words With Friends,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,A little bit of the time,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,A little bit of the time,A little bit of the time,A little bit of the time,A little bit of the time,Never,Never,A little bit of the time,Never,Very often,Never
10/31/2016 20:20:48,Female,West,40,Graduate (PhD),iPhone 6/6S/6S Plus,Between 1 and 3 hours,Camera,All of the time,Very often,Very often,Very often,A little bit of the time,A little bit of the time,A little bit of the time,Never,Never,Sometimes,Never,Never,Sometimes,Very often,A little bit of the time,Never,Very often,Very often,Very often,A little bit of the time,Never,A little bit of the time,Never,A little bit of the time,A little bit of the time,Never,Never,Pinterest,Never,Never,Never,Never,Never,Never,Never,Never,Never,A little bit of the time,A little bit of the time,Never,Never,Never,Never,Never,Never,Never,Very often,Sometimes,Very often,Never,Very often,Never,Never,A little bit of the time,Never
11/1/2016 5:45:03,Male,Northeast,38,Graduate (PhD),iPhone 5/5S/5C or older,Between 1 and 3 hours,Camera,Very often,Sometimes,A little bit of the time,Sometimes,Sometimes,Very often,Sometimes,Sometimes,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Sometimes,All of the time,Never,Never,Never,Never,A little bit of the time,Never,Never,Sometimes,Very often,Very often,Very often,Very often,Never,Mail,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very often,Never,Never,Never,Never,Never,Never
10/31/2016 18:53:07,Female,West,26,College (Bachelor's),Moto X Google phone,Between 1 and 3 hours,Chrome,All of the time,All of the time,All of the time,Very often,All of the time,All of the time,Very often,Very often,Very often,Sometimes,Very often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Never,A little bit of the time,Never,Sometimes,Very often,A little bit of the time,Snapchat,A little bit of the time,Never,Never,A little bit of the time,A little bit of the time,A little bit of the time,Sometimes,Never,Never,Very often,Very often,Never,Very often,A little bit of the time,Never,Never,Never,Never,A little bit of the time,A little bit of the time,Never,Sometimes,A little bit of the time,Never,Never,Very often,Never
10/31/2016 19:21:23,Male,Northeast,39,Graduate (PhD),iPhone 6/6S/6S Plus,Between 1 and 3 hours,Chrome,All of the time,Sometimes,Very often,A little bit of the time,Very often,Very often,Very often,A little bit of the time,Very often,Never,Never,Never,Never,Sometimes,Never,Never,Very often,Very often,Very often,A little bit of the time,Never,Never,All of the time,Sometimes,Very often,A little bit of the time,Never,Candy Crush,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,A little bit of the time,Sometimes,A little bit of the time,All of the time,Very often,A little bit of the time,Sometimes,Never,Never,Never,Never,Very often,Never
11/1/2016 11:01:09,Female,Northeast,26,College (Bachelor's),Android,Between 1 and 3 hours,Chrome,Sometimes,Very often,A little bit of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Sometimes,Never,A little bit of the time,Never,All of the time,Sometimes,Sometimes,Sometimes,Sometimes,All of the time,Very often,Never,Never,A little bit of the time,All of the time,Sometimes,Never,Never,Candy Crush,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very often,Sometimes,Very often,A little bit of the time,Very often,Sometimes,A little bit of the time,Very often,Never,Never,A little bit of the time,Never,All of the time,Never
10/31/2016 18:30:29,Male,Midwest,19,College (Bachelor's),iPhone 7/7 Plus,More than 3 hours,Facebook,Sometimes,Very often,Never,Sometimes,Sometimes,Sometimes,Sometimes,A little bit of the time,Very often,Sometimes,A little bit of the time,Very often,Very often,Sometimes,A little bit of the time,Very often,Never,A little bit of the time,Very often,Sometimes,Very often,Very often,Very often,Sometimes,A little bit of the time,A little bit of the time,Sometimes,Instagram,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,A little bit of the time,Never,A little bit of the time,A little bit of the time,A little bit of the time,Sometimes,Sometimes,Sometimes,Very often,A little bit of the time,Sometimes,Very often,Sometimes,Sometimes,A little bit of the time,Sometimes,Never
10/31/2016 18:37:45,Female,Northeast,22,College (Bachelor's),iPhone 7/7 Plus,More than 3 hours,Facebook,A little bit of the time,Very often,Never,Never,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Very often,Very often,Very often,Sometimes,Very often,Very often,Very often,All of the time,Sometimes,Sometimes,Sometimes,A little bit of the time,All of the time,Sometimes,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Never,Tumblr,Never,Never,Never,Never,Never,Never,Never,Sometimes,A little bit of the time,A little bit of the time,Sometimes,Never,Very often,Sometimes,A little bit of the time,Very often,Never,A little bit of the time,A little bit of the time,Never,Never,Never,All of the time,All of the time,Sometimes,A little bit of the time,Never
10/31/2016 18:44:46,Female,West,23,College (Bachelor's),iPhone 6/6S/6S Plus,More than 3 hours,Facebook,A little bit of the time,Sometimes,Never,A little bit of the time,Very often,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Very often,Very often,Sometimes,Never,All of the time,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Never,Never,Candy Crush,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Very often,A little bit of the time,A little bit of the time,A little bit of the time,Never,Never,Never,Never,Never,Never,Very often,Never
10/31/2016 18:45:40,Female,West,24,Graduate (PhD),iPhone 6/6S/6S Plus,More than 3 hours,Facebook,Never,Never,Never,Never,All of the time,All of the time,Sometimes,A little bit of the time,All of the time,Sometimes,Very often,Never,Sometimes,Sometimes,Very often,All of the time,Sometimes,Very often,Very often,Never,Never,Very often,Sometimes,Sometimes,A little bit of the time,A little bit of the time,Never,Words With Friends,Never,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes,A little bit of the time,Never,Never,A little bit of the time,A little bit of the time,Never,Sometimes,Sometimes,All of the time,Never,Never,A little bit of the time,Never,Never,Never,All of the time,Never
10/31/2016 18:51:32,Female,Northeast,32,Graduate (PhD),iPhone 7/7 Plus,More than 3 hours,Facebook,A little bit of the time,A little bit of the time,Never,Never,A little bit of the time,A little bit of the time,A little bit of the time,A little bit of the time,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,A little bit of the time,Sometimes,Very often,Very often,All of the time,Sometimes,Never,Pinterest,A little bit of the time,Never,Never,Never,Never,A little bit of the time,Never,A little bit of the time,A little bit of the time,Never,Never,A little bit of the time,Never,A little bit of the time,Never,A little bit of the time,Never,Never,A little bit of the time,A little bit of the time,Never,A little bit of the time,A little bit of the time,Sometimes,Sometimes,A little bit of the time,Never
10/31/2016 19:33:25,Female,South,25,College (Bachelor's),iPhone 6/6S/6S Plus,More than 3 hours,Facebook,Sometimes,Very often,Never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,All of the time,Very often,All of the time,Very often,A little bit of the time,Sometimes,Sometimes,Very often,Very often,Very often,Never,All of the time,Sometimes,A little bit of the time,Sometimes,Never,Never,Yelp,Sometimes,Very often,A little bit of the time,Never,Sometimes,Very often,Very often,Very often,A little bit of the time,A little bit of the time,Never,Sometimes,Never,Sometimes,Never,Never,A little bit of the time,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very often,Sometimes,Never,All of the time,Never
